Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1313533646,T686266C,NY,OMT,01/27/2018,11,SDN,LINCO,X,10610,34810,34830,20181231,,0,972,575401,0972,0000,1045A,,NY,F,811,7TH AVENUE,,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0,2009,-,0,,,,,
8495848685,J17HWN,NJ,PAS,01/27/2018,11,4DSD,KIA,T,34250,10510,10610,88880088,13,13,13,367320,T102,G,0151P,,NY,F,108,W 24th St,,0,408,c5,,YYYYYYY,,,WHITE,,0,,0,03,11-No Stand (exc hotel load),,,
8476691786,HCM5755,NY,PAS,01/27/2018,11,SUBN,NISSA,T,34550,10510,13610,20191110,14,14,14,362166,T106,B,0836A,,NY,O,118,W 39th St,,0,408,c5,,YYYYYYY,,,OR,,2015,,0,12,11-No Stand (exc hotel load),,,
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1313533646,T686266C,NY,OMT,01/27/2018,11,SDN,LINCO,X,10610,34810,34830,20181231,,0,972,575401,0972,0000,1045A,,NY,F,811,7TH AVENUE,,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0,2009,-,0,,,,,
8495848685,J17HWN,NJ,PAS,01/27/2018,11,4DSD,KIA,T,34250,10510,10610,88880088,13,13,13,367320,T102,G,0151P,,NY,F,108,W 24th St,,0,408,c5,,YYYYYYY,,,WHITE,,0,,0,03,11-No Stand (exc hotel load),,,
8476691786,HCM5755,NY,PAS,01/27/2018,11,SUBN,NISSA,T,34550,10510,13610,20191110,14,14,14,362166,T106,B,0836A,,NY,O,118,W 39th St,,0,408,c5,,YYYYYYY,,,OR,,2015,,0,12,11-No Stand (exc hotel load),,,
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1313533646,T686266C,NY,OMT,01/27/2018,11,SDN,LINCO,X,10610,34810,34830,20181231,,0,972,575401,0972,0000,1045A,,NY,F,811,7TH AVENUE,,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0,2009,-,0,,,,,
8495848685,J17HWN,NJ,PAS,01/27/2018,11,4DSD,KIA,T,34250,10510,10610,88880088,13,13,13,367320,T102,G,0151P,,NY,F,108,W 24th St,,0,408,c5,,YYYYYYY,,,WHITE,,0,,0,03,11-No Stand (exc hotel load),,,
8476691786,HCM5755,NY,PAS,01/27/2018,11,SUBN,NISSA,T,34550,10510,13610,20191110,14,14,14,362166,T106,B,0836A,,NY,O,118,W 39th St,,0,408,c5,,YYYYYYY,,,OR,,2015,,0,12,11-No Stand (exc hotel load),,,
