Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8638706625,AG98370,CT,PAS,01/27/2018,31,SUBN,JEEP,T,24050,28490,33490,88880088,1,1,1,363137,T105,G,0510P,,NY,F,133,John St,,0,408,l3,,Y,0700A,0700P,WHITE,,0,,0,050,31-No Stand (Com. Mtr. Zone),,,
8638706534,PPAVAN,DE,PAS,01/27/2018,31,4DSD,VOLKS,T,13550,45340,13590,20180788,1,1,1,363137,T105,G,0134P,,NY,O,15,Bridge St,,0,408,l3,,Y,0700A,0700P,SILVE,,0,,0,050,31-No Stand (Com. Mtr. Zone),,,
8638706522,28265CF,MD,PAS,01/27/2018,31,SUBN,TOYOT,T,28490,13590,15550,20180588,1,1,1,363137,T105,G,0129P,,NY,O,66,Pearl St,,0,408,l3,,Y,0700A,0700P,WHITE,,0,,0,050,31-No Stand (Com. Mtr. Zone),,,
8639252555,VJA17U,NJ,PAS,01/27/2018,31,4DSD,TOYOT,T,26790,21690,13810,88880088,5,5,5,367398,T101,F,0306P,,NY,O,171,Mott St,,0,408,l3,,Y,0700A,0600P,WHITE,,0,,0,40,31-No Stand (Com. Mtr. Zone),,,
8630753274,CTD7604,NY,PAS,01/27/2018,31,SUBN,JEEP,T,16890,8790,61090,20180421,115,115,115,331965,T401,N,0540P,,Q,O,37-12,82nd St,,0,408,l3,,Y,0900A,0700P,BK,,2008,,0,J-AM,31-No Stand (Com. Mtr. Zone),,,
8632167455,T668675C,NY,OMT,01/27/2018,31,SUBN,TOYOT,T,16890,8790,61090,20180131,115,115,115,352040,T401,K,1135A,,Q,O,37-16,82nd St,,0,408,l3,,Y,0900A,0700P,WH,,2012,,0,23-A,31-No Stand (Com. Mtr. Zone),,,
8632167431,FYW8670,NY,PAS,01/27/2018,31,SUBN,FORD,T,16890,8790,61090,20181211,115,115,115,352040,T401,K,1018A,,Q,O,37-12,82nd St,,0,408,l3,,Y,0900A,0700P,RD,,2004,,0,23-A,31-No Stand (Com. Mtr. Zone),,,
8632167420,T40FSK,NJ,PAS,01/27/2018,31,PICK,TOYOT,T,16890,8790,61090,88880088,115,115,115,352040,T401,K,1015A,,Q,O,37-16,82nd St,,0,408,l3,,Y,0900A,0700P,WHITE,,0,,0,23-A,31-No Stand (Com. Mtr. Zone),,,
8631306484,V55FGM,NJ,PAS,01/27/2018,31,4DSD,HONDA,T,8790,15540,15640,88880088,115,115,115,357359,T401,J,0251P,,Q,O,73-10,37th Ave,,0,408,l3,,Y,0900A,0700P,SILVE,,0,,0,23,31-No Stand (Com. Mtr. Zone),,,
8631306447,T752712C,NY,OMT,01/27/2018,31,SUBN,HONDA,T,8790,15790,15990,20181130,115,115,115,357359,T401,J,0133P,,Q,F,75-05,37th Ave,,0,408,l3,,Y,0900A,0700P,BL,,2017,,0,23,31-No Stand (Com. Mtr. Zone),,,
8627854683,EXM1780,NY,PAS,01/27/2018,31,SUBN,JEEP,T,28490,13590,15550,20180215,1,1,1,355551,T105,J,1118A,,NY,F,66,Pearl St,,0,408,l3,,Y,0700A,0500P,WH,,2011,,0,019,31-No Stand (Com. Mtr. Zone),,,
